,0
0,['I love the energy \nBut \nPracticing how to travel on every shot
1,might not be the way I would go. \nBut \nThat’s me 😂'
2,'She looks a little heavy and doesnt have alot of lift in her shot. Drop some pounds in order to get quicker'
3,'Very nice catch and gather. That is important'
4,"""Hey y'all !"""
5,'T'
6,'Looks like Pilar might have some game.'
7,'Even though the divorce...they still put them kids 1st...Some of us black folk act like we should not raised their kids or operate cause the union is no longer...but the union is still them kids born within it!'
8,'Wow she actually putting in some work instead of hanging out buying earrings 👏🏾 now we can hope to see her on the same level as her brothers or a Angel Reese.'
9,'Love it'
10,'P so fine
11,and some like a sweet lady'
12,'Already 🗣️‼️'
13,'she getting real good look out'
14,"""Is the mom single? Sheesh that's a beautiful woman. That jumper is wet baby girl."""
15,'Hot!?! DAMN!!..SHELOMI you ahh fr FR SNIPER...sooo this part of tha  game is from MOMS 🫵🤣'
16,'Chicks rock! That girl is a beast right there. Go Shelomi!'
17,'I wonder did her Mom play ball on some level. Those passes were kinda crisp.'
18,'Prime up..Bossy'
19,'Shelomi
20,shoot from the corners
21,not the same spot
22,you will not always have that.'
23,'Excellent shooter...you go girl...Pilar is sooo cool...please add more content with her...'
24,'One thing about it
25,Pilar seems to really love her kids.  She went off a little back in the day  but hopefully she has recuperated']
26,[]
27,"[""Yeah get ahead of the ball on the fast break ladies... don't run along side of the dribbler sprint ahead and KP and Anesia use the baseball pass go Tigers 😅"""
28,'Amazing coaching'
29,'Natty ready 🎉❤🎉❤🎉❤🎉❤'
30,'Hate to say this but yeah
31,this is what it looks like when your excitement has totally left😮'
32,"""😂😂😂 angel reese is in the gym yall don't all talk at once 😂😂😂"""
33,'This is embarrassing'
34,'Garland lard would cook y’all mfs']
35,['she got a bright future behind her'
36,"""She wasn't six weeks ago. If i can remember"
37,Iowa had her scared to shoot the damn ball. She was completely lost. Remember that. Clark is the worst defensive guard in the country. And she had raven scared. Look at the Iowa
38,"lsu game if you want to see good guard play dude!!!!!! Or you can wait tell next season LSU will show you..... Ok?"""
39,'Watch out NCAA Raven is about to blow your mind 😂\nShowtime in SC!']
40,['😓 P R O M O S M'
41,'Worst advice ever'
42,'Everything online but highlights. Where the highlights at 🤷🏽\u200d♂️'
43,'😍🔥🙌🏾. I like Dallas 😂 but I’m Candace Parker fan first !']
44,['Nothing wrong with this'
45,"'Brittney ♥️,I pray God Almighty silent your gossiping enemies 🙏'"
46,"""D Wade is one the most feminine males in sports. He probably allows Gabby to peg him"
47,"and that's why his son is so confused."""
48,"""where did she try to kiss him cause I don't see it"""
49,'Hollyweird smh'
50,'She should still b in Russia. Bring the Marine home. It least he has appreciation for America n shows respect for the American Flag!!!'
51,'Stop it'
52,"""C'mon stop the stupid interpretation.Hello bro,mutual respect,nothing more."""
53,'She belongs in Russia'
54,'Just two distinguished gentlemen shaking hands'
55,"""Bro don't swing that way"""
56,'Two turds']
57,['Eu só quero saber o nome da música 😂'
58,'All these wanna be thugs'
59,"'He needs to stop listening to yb,'"
60,'If he aint flash a gun would y’all care if he was lit in the club?'
61,'Something could pop off at any damn second .... no thanks ...'
