,Unnamed: 0,0,sentiment
3,3,heart soul england team,neutral
4,4,can aaron ramsdale ellie roebuck v sandy maciver jordan pickford next,neutral
7,7,speed climbing skate boarding aint olympic sport,neutral
11,11,i shin pad opposite leg,neutral
15,15,126 keira lucy,neutral
17,17,i wembley fateful day guy,neutral
18,18,why see men new gear,neutral
24,24,lucy e una idola e talentosa,neutral
31,31,leah sort,neutral
34,34,finger long leg would probably much even lesbian,neutral
35,35,jill scott took u tour around basecamp back first arrived lensbury ahead opening weuro2022 group match,neutral
36,36,var thats line,neutral
37,37,lucy bronze,neutral
38,38,226,neutral
41,41,im now tell others specially ellen,neutral
43,43,this kid,neutral
44,44,girl roasting fran,neutral
45,45,leah,neutral
46,46,why got irish flag on,neutral
48,48,i remember watching game live tv 7 8,neutral
51,51,when 2nd pool video filmed,neutral
52,52,muy divertida que bonita personalidad,neutral
53,53,beer rather,neutral
54,54,what happened chloe kelly,neutral
56,56,how jill scott room snext unitt room also surname jill fiance shellyni know thats rachel unitts room,neutral
60,60,am one noticing rashy saying eveon instead everton 441,neutral
63,63,now scoot room legend,neutral
64,64,you guy know gone,neutral
65,65,the weather,neutral
66,66,100 million pound mate say declan,neutral
67,67,you tell leah keira really close,neutral
71,71,do feel intelctual conversation developing,neutral
74,74,he got altogether goalsmaybe th all,neutral
77,77,both grealish rice traitor irish,neutral
84,84,new shirt yet lioness still awful purple training kit playing old shirt many year look usa kitted looking date please sort,neutral
88,88,recuerdo haber visto este partido cuando tena do mil da de haber nacido,neutral
91,91,miniminter,neutral
93,93,people hung result game football,neutral
98,98,a hundred million pound mate ayyy look who talkin now,neutral
99,99,you polar bear,neutral
100,100,the weva,neutral
101,101,rick james legend,neutral
106,106,jack absolute buzzing card,neutral
109,109,new training kit,neutral
110,110,sound,neutral
111,111,1010 person lucy bronze,neutral
112,112,632 jack say,neutral
113,113,she say sound lot,neutral
114,114,leah jack 819,neutral
115,115,who watching doc,neutral
117,117,the weatho,neutral
118,118,goat saving ever ever incredible,neutral
123,123,yo neymar,neutral
126,126,que dios lo tenga en sus brazos,neutral
134,134,for movie question think referring natasha lyonne i think,neutral
135,135,751 came for,neutral
139,139,should leah rice,neutral
140,140,now theyre 100m pound,neutral
141,141,stne gelen topu buraxr,neutral
142,142,554,neutral
144,144,who else celebrity,neutral
145,145,how know jack grealish aa irish,neutral
146,146,see future footballer,neutral
149,149,lucy im old,neutral
151,151,501 100 million pound mate dec youre 105mil,neutral
154,154,cant beat mary kid favourite,neutral
156,156,simplemente el loco,neutral
157,157,money,neutral
158,158,i know rice grealish woman thought football video,neutral
160,160,rahford,neutral
165,165,leah williamson leng,neutral
167,167,that goal greece pure goosebump,neutral
168,168,jack saying kiddy answer crack up,neutral
170,170,a pea,neutral
173,173,ela muito elegante jogando futebol,neutral
178,178,su pasin desde dentro fuera de la cancha mundial 2006 2010 dolieron grande beckham7 el lord7,neutral
180,180,knew endsnnremember 91 mads,neutral
182,182,lucy portuguese,neutral
183,183,bravo,neutral
185,185,england,neutral
186,186,i see 3 gooners video,neutral
188,188,back football art,neutral
190,190,rachel need fill side gap,neutral
192,192,636 plss declan freaking funny though,neutral
193,193,behind,neutral
195,195,were 2020 olympics,neutral
200,200,who netflix upcoming documentary,neutral
202,202,most extravagant thing ever eaten a pea,neutral
205,205,lucy fantastica defensa,neutral
206,206,001,neutral
207,207,leah williamson angel,neutral
209,209,im irish,neutral
210,210,i watched 4 10000000th time,neutral
212,212,la gloria eternaqepd,neutral
214,214,higuita second none,neutral
215,215,bizde de qap shahruddin var,neutral
219,219,when young,neutral
