,Unnamed: 0,0,sentiment
6,6,1433 coj,neutral
7,7,yea tmac would beat kd,neutral
11,11,got ta see new movie thats coming,neutral
16,16,heard long time,neutral
18,18,know age experience showing,neutral
21,21,curry flip 3614,neutral
24,24,before called westbrook westbrick,neutral
27,27,first,neutral
29,29,we timber soccer,neutral
30,30,my man drowning,neutral
32,32,fall got ta fall bum,neutral
40,40,sidney moncrief,neutral
41,41,notification,neutral
46,46,people think thing legend someone marketing opposed happened people saw jordan,neutral
52,52,star pro olympic team using college player,neutral
53,53,scoring title 325ppg shooting 53,neutral
54,54,one reason team chose gameplan him steph outranked kd 2 3 time mvp voting time,neutral
55,55,impact lakers never level shaquille o neal,neutral
56,56,water,neutral
57,57,could monarch child need reprogrammed,neutral
58,58,carmelo anthony mac simple minded hall famer,neutral
60,60,how gon na sign kd,neutral
61,61,lebron didnt even make playoff first two season,neutral
62,62,that okc team loaded,neutral
63,63,rachel nichols fat,neutral
65,65,rachael hot though,neutral
67,67,competition giannis,neutral
68,68,even another player averaging around 7 assist,neutral
70,70,nba star,neutral
72,72,gsw bounce back 2022 kd,neutral
75,75,superbowl,neutral
83,83,not lifetime,neutral
87,87,5 spot key building team around worked drafted bill walton 77 draft moses malone season,neutral
92,92,talk dr j transcendent player alsothe classiest,neutral
94,94,if watch game 1 91 nba final,neutral
95,95,blazer didnt need jordan clyde drexler understand time,neutral
97,97,lebron never good mike mike never choked,neutral
98,98,maybe lebron,neutral
99,99,i get get paid attitude college need compensate stay physically prep 4 year,neutral
104,104,throw ball mound pitcher receive ball 3rd basemen could pitch markelle might yip,neutral
105,105,one is secondly series still close,neutral
110,110,etc,neutral
115,115,im trying get commercial,neutral
122,122,kawhi lebronnnlike kobe shaq 9904,neutral
123,123,nba statistic,neutral
124,124,could guard 4 5 position,neutral
125,125,where would u rank rose mvp season,neutral
126,126,im patreon,neutral
127,127,and today basically superteam,neutral
128,128,jordan,neutral
135,135,mj,neutral
136,136,always say let stay college two year b4 nba,neutral
137,137,it big boat,neutral
138,138,thats micheal jordan maaaan come,neutral
139,139,pull video kobe,neutral
146,146,russell west brick,neutral
148,148,dpoy,neutral
149,149,they gone dis nigga covering lucha libre match,neutral
153,153,never,neutral
155,155,case also,neutral
156,156,ad leaf lakers done even w lebron peds lakers,neutral
157,157,chewed jordan,neutral
161,161,47 game compared 100game full season sample nnwith kd dub 2924,neutral
165,165,rookie year,neutral
172,172,new website,neutral
174,174,whether per month per video,neutral
175,175,point time,neutral
176,176,in 20172018 lebron deserved mvp,neutral
181,181,tmac penny hardaway 20 imo,neutral
191,191,celine dion sings profound song max,neutral
192,192,showed smart drafting center problem,neutral
193,193,keep mind jordan year mvp,neutral
197,197,mulefaced brother stick gather,neutral
204,204,jokic,neutral
206,206,suprised 2017 steph kd list,neutral
209,209,when lead,neutral
220,220,russellnrodmanndreamnin order,neutral
225,225,kobe,neutral
232,232,we got jayson tatum,neutral
234,234,hold he would beat anyinw kobe mj,neutral
237,237,wa crack,neutral
241,241,im weak lol,neutral
244,244,called titanic it epic max,neutral
248,248,hey,neutral
253,253,magic bird dominated coke head league 80,neutral
256,256,make extremely valid point,neutral
258,258,led league scoring triangle system,neutral
259,259,he called jit,neutral
261,261,max,neutral
262,262,that shannon sharpe impersonationpriceless keep keepin real brother,neutral
267,267,there red dot since then,neutral
271,271,larger sample size make data reliable,neutral
275,275,anthony davis robbery right now,neutral
277,277,perkins fuckin clown literally used kds name relevancy notoriety,neutral
278,278,that college team going 90 nba team back testament garbage league back then college team go 18 pro team today michael dominated watered league 90,neutral
285,285,hakeem magic beg differ lebron skilled big man history nba,neutral
289,289,subbed 3 video ago,neutral
291,291,catcher indian,neutral
296,296,one thing need consistent,neutral
301,301,gary paytonnmichael jordanndennis rodmannbill russellnben wallacenthis opinion time defensive player,neutral
304,304,it tie 1a 1b lebron superan between leshannon v nick wrightjames think,neutral
307,307,the fact never dpy always blow mind,neutral
309,309,i think wan na sign mason contract sacrifice,neutral
310,310,defensive player,neutral
