,Unnamed: 0,0,sentiment
2,2,yo neymar,neutral
4,4,who,neutral
5,5,one is secondly series still close,neutral
6,6,kramer robertson kims son kramer,neutral
14,14,raven pg1,neutral
15,15,lebron didnt even make playoff first two season,neutral
17,17,balled out dont humble talk yo sht,neutral
18,18,new training kit,neutral
20,20,england,neutral
25,25,you related bradley beal,neutral
28,28,rookie year,neutral
29,29,wooh surpriseshe speaks english,neutral
30,30,one thing,neutral
32,32,jokic,neutral
35,35,they gone dis nigga covering lucha libre match,neutral
37,37,paige,neutral
39,39,anthony davis robbery right now,neutral
40,40,you tell leah keira really close,neutral
41,41,chewed jordan,neutral
42,42,hard stop person scoring shot like that,neutral
47,47,he got altogether goalsmaybe th all,neutral
48,48,both grealish rice traitor irish,neutral
50,50,the weather,neutral
54,54,she belongs russia,neutral
56,56,morreaux,neutral
59,59,larger sample size make data reliable,neutral
60,60,that attitude,neutral
61,61,now theyre 100m pound,neutral
62,62,leah williamson angel,neutral
64,64,should leah rice,neutral
66,66,recuerdo haber visto este partido cuando tena do mil da de haber nacido,neutral
69,69,point time,neutral
70,70,and begin,neutral
71,71,and today basically superteam,neutral
72,72,636 plss declan freaking funny though,neutral
75,75,new website,neutral
76,76,miniminter,neutral
77,77,one thing need consistent,neutral
78,78,led angel,neutral
87,87,419 time baby zc,neutral
88,88,got ta see new movie thats coming,neutral
94,94,raven eating girlies up,neutral
95,95,yeahhh ravenn,neutral
96,96,100 million pound mate say declan,neutral
97,97,this kid,neutral
100,100,hmm angel reese hanging little bit now,neutral
103,103,iowa disrescpecting sc,neutral
105,105,just week ago,neutral
107,107,she say sound lot,neutral
110,110,thats micheal jordan maaaan come,neutral
115,115,can aaron ramsdale ellie roebuck v sandy maciver jordan pickford next,neutral
121,121,i wembley fateful day guy,neutral
123,123,shelomi,neutral
124,124,ela muito elegante jogando futebol,neutral
125,125,people hung result game football,neutral
126,126,rachael hot though,neutral
128,128,bravo,neutral
129,129,with deal,neutral
131,131,go han,neutral
137,137,speed climbing skate boarding aint olympic sport,neutral
139,139,lsu,neutral
141,141,leah,neutral
146,146,girl roasting fran,neutral
148,148,cant beat mary kid favourite,neutral
150,150,keep mind jordan year mvp,neutral
152,152,already,neutral
153,153,water,neutral
157,157,n didnt went nowhere next game,neutral
159,159,get it,neutral
161,161,bandwagon chasernaneesha,neutral
167,167,the weva,neutral
168,168,hold he would beat anyinw kobe mj,neutral
176,176,notification,neutral
177,177,who watching doc,neutral
179,179,south carolina still gone beat them,neutral
186,186,pas guard,neutral
187,187,power tower han xun,neutral
