,0
0,['LaShannon James has it really really bad for his boo thang.'
1,'“Ferocious like a comet” 😂'
2,'“Shit I was the best player in the country” 😭😭'
3,'Where would u rank d rose mvp season ?'
4,"""On the cool how many 2 guards dropped 25 to 30 pts on Jordan? I don't think many if not any"""
5,'Even with the Wizards when MJ was pushing 40 and 20 lbs over his playing weight Jordan was feared and could kill you. His stats with Washington were on par with a Paul Pierce all star season.'
6,'#3 on the blazers in the background look like KD’s pops lol 😂'
7,"""Great mention Judah"
8,"Dr.J averaged 24/8/4/2/2 very much better than Kobe's 25/5/5. Kobe's stats compared to his group is probably the weakest. West 27/6/7. Big O 26/7/9. Moses 20/12. Elgin Baylor 27/13/4. Isiah 19/4/9. Only Havlicek with 21/6/5 comes lower than Kobe's career stat line. The way Kobe shot the ball he should average 28/29 PPG for a career."""
9,'Hakeem and Magic beg to differ. Lebron is NOT the most skilled big man in the history of the NBA.'
10,'Your not funny but'
11,'AI and Jason Richardson had the craziest athleticism  Ive ever seen.'
12,'4:20 - 4:50 lmao'
13,'That Shannon Sharpe impersonation..*PRICELESS* Keep keepin it real my brother.✊'
14,"""First"
15,you make an extremely valid point
16,when you talk Dr. J. being a transcendent player and also...the classiest
17,most humble and articulate professional basketball player I have ever seen(along with Wilt and Bill Russel). I saw them all in their prime and like to think that mine is a fairly educated guess and opinion. Second
18,you make another great point in stating that wherever James has played
19,it's his team and his system.....period. It's so obvious. One can talk all day about analytics and stats(like number of 3's made while eating cheetos and watching 'Friends' - for example). Just kidding
20,but nothing will ever take the place of good old fashioned scouting when evaluating a player. Yeah
21,I know my age and experience is showing
22,but hey
23,your channel speaks to me in a common-sense manner more than most. My rant might belong in another forum
24,"so my apologies for it here. You keep bringing it as you seem very astute. E solo la mia opinione. Pace."""
25,"""It's a tie or 1a &1b for LeBron superan between... LeShannon vs Nick Wright-James. What you think?"""
26,"""Jealousy jealousy"
27,"yeah that's you. I laughed at him as well."""
28,'Klay is a better shooter than Curry'
29,'Kobe
30,Vince and Domonic were the best dunkers in the history of the NBA.'
31,"""LeBron James is the 10th on the all-time great list. Dude so damn overrated. Yup"
32,I rank Shaq Olajuwon an Duncan ahead of him. He's a horrible leader an that qualifies for greatness. His ass stuck at number 10. Get 5 rings I might put him 8th
33,"might. He'll never be ahead of Tim Duncan. Never."""
34,'lol yo shannon voices are the best ever lol ik he hates u']
35,"[""When you lead"
36,with emotions that alone show signs of lack of strength (weakness in other words). People who exhibit these symptoms can't be trusted to lead because they allow their judgment to outweigh their common sense. These entertainers are Luciferians who believe in Lucifer as an actual deity
37,this is who they praise on a regular basis. The highest form of Ignorance is to reject something you know nothing about. Most of these entertainers are on enhancement drugs
38,that alone would allow me to question one's ability in terms of how good you are. The female speaker doesn't have a clue
39,about NBA statistics
40,"she's just another paid puppet behind the confusion. Good commentary CJ!!"""
41,'No'
42,'Thats Micheal JORDAN maaaan Come on 🏀 🐐'
43,'I been saying that for years Bron been using enhanced drugs when that lady confirmed his initials on those packages and had been receiving them for 3 years the NBA downplayed it cause they still have him as the face of the league but the truth will come out after he retires'
44,"""All of the Le Bron Stans will make a million and one excuses why this happened and why that didn't happen. All of the facts provided in this video explain the reason Jordan is better than Le Bron and the Le Bron Stans refuse to acknowledge this."""
45,'Led the league in scoring while in a triangle systems'
46,'Love the Judah videos but I’ve seen Pure GREATNESS from Kobe Bryant in the biggest games 2000 finals game 4????and with Lebron I’m just waiting for him to screw it up and he does...'
47,'Shannon Sharpe loves LeBron
48,mule-faced brothers stick to gather!'
49,'Keep in mind that jordan won ALL OF THESE IN THE SAME YEAR:  MVP
50,DPOY
51,scoring title at 32.5ppg while shooting 53%
52,winning steals title while averaging 3.2
53,and blocking 1.6 shots per game.   He also managed 8.0 assist and 8.0 rebounds.  Somebody like lebron could never focus on offense and defense at that level IN THE SAME SEASON.'
54,'Before he called Westbrook Westbrick 🧱😂'
55,'I’m not going to lie the arguments against Lebron are horrible. So many holes in this perspectives. Lol'
56,'Short answer : No!'
57,'I was going to ask if lebron the best in the league how comes he is not the MVP for the last two seasons'
58,"'""Behind the fall of every great man is normally a woman""  big facts from COJ'"
59,'LeBron can never be as good as Mike. Mike never choked!'
60,"""Jordan impact worldwide was felt way better than Lebron's"""
61,'NO!\nAND I’LL JUST GIVE YOU ONE REASON. LEBRON IS A CAREER BELOW AVERAGE FREE THROW SHOOTER. HE HAS 8 AVERAGE SEASONS & 8 BELOW AVERAGE SEASONS GIVING HIM A CAREER BELOW AVERAGE TOTAL. JORDAN NEVER HAD ONE BELOW AVERAGE SEASON FROM THE LINE. HIS LOWEST SEASON FREE THROW PERCENTAGE IS HIGHER THAN LBJ’s HIGHEST. ALSO JAMES IS THE ALL TIME LEADER IN PLAYOFF TURNOVERS AND ON PACE TO THE THE ALL TIME LEADER IN TURNOVERS IN THE NEXT 2 SEASONS. OK I SAID ONE REASON.  😁'
62,'MJ
63,Kobe
64,Maybe Lebron'
65,'Not in this lifetime
66,Jordan is on an entire different Level to someone like Lebron comparing Lebron to Jordan is an insult to Jordans Legendary Greatness. Lebron is just a great player
67,but he is no Jordan.'
