,0
0,['Los paisas siempre inventando 😂👍'
1,'The big smile on his face when he gets off the ground says it all 😂 what a baller!'
2,'I was in Wembley on this fateful day! What a guy!!'
3,'if he missed tho'
4,'Simplemente El Loco.'
5,'The most epic yet useless move in football!'
6,'You can not convince me he wasn’t high when he did that'
7,"'People too hung up on it being a ""results game"". This is football🔥🔥'"
8,"""Who's here after Netflix upcoming documentary"""
9,'Rick James the legend'
10,'This is just perfect all these years later'
11,'G.O.A.T Saving ever ever... Incredible'
12,"""VAR That's was over the line!!! 😁"""
13,'Recuerdo haber visto este partido cuando tenía dos mil días de haber nacido'
14,'higuita is second to none'
15,'I remember watching this game live on tv I was about 7 or 8'
16,'This is some main character energy right there'
17,'Let’s be honest that was not a shot it was a back pass'
18,'Back then when football was an ART
19,not only money']
20,['Leah is so beautiful 😍'
21,'A pea?🤨😟'
22,'So sad not to see the captain world cup'
23,'❤❤❤❤❤❤❤❤'
24,'It is so insane that there international careers r almost identical to each others 😂'
25,'5:51 leah laughing <3'
26,'we’re they in the 2020 olympics?'
27,'Keira does look like Alyson Hannigan from American Pie! 😂'
28,'Leah Williamson is an angel!!!'
29,'I do that shin pads on the opposite leg'
30,'Beautiful 😍'
31,'For the movie question I think they were referring to Natasha Lyonne (I think)'
32,'Leah seems like such a nice person'
33,"'Most extravagant thing ever eaten ""a pea""🤣🤣🤣💀'"
34,'You can tell that Leah and Keira are really close'
35,"""Keira answered more of Leah's questions than Leah. Funny thing is Leah let her."""
36,'Fingers as long as legs - would probably be too much even for lesbians! 🤣'
37,'❤️Leah'
38,'Leah is so fit'
39,'6:02 Oh Leah Williamson in The Crown would be very interesting! 👑🇬🇧']
40,['Znakomity piłkarz 👍😊👏👏wielki talent 😊'
41,'Give that man a knighthood is the one of my favorite game calls ever'
42,'Bobby Charlton el Grande ha fallecido
43,que Dios lo tenga en sus BRAZOS
44,y la GLORIA ETERNA...Q.E.P.D.🙏🙏🙏...'
45,'whos here from after watching the doc'
46,'best footballer in the world. zlatan has nothing on him'
47,'Beckham has the ability to speak to the ball ❤'
48,'Knew we where it ends\n\nRemember our 91 mads'
49,"""You guys didn't know what you had and then it was gone !"""
50,'He has got during altogether goals...maybe thıs is  all....'
51,"""That goal against Greece was one of the best moments I've seen in football. Zero to hero with that magic right foot"""
52,'ill never forget watching that last  goal as long as i live....'
53,'When I was young 
54,"I really attracted by English Premiere league. The reason behind the scene was the one and only David Beckham. He was like a ""Maradona"" of English Team. He proved that he was the motivational part of any game those won by English Team. What a fantastic player he was!'"
55,'🎉su pasión desde dentro y fuera de la cancha mundial 2006 y 2010 dolieron. Grande Beckham7 el Lord7'
56,'Bravo !'
57,'Well done 7.'
58,'Going to Real madrid was his biggest mistake.'
59,'McManaman and Scholes in the mid was a great pairing.'
60,'That goal against greece is pure goosebumps'
61,'His technique was incredible and the goals one more beautiful than the other. At the time one of my absolute favorite players and idol'
62,'🐐']
63,"['""The weather?"" 😂'"
64,'Rahford😋'
65,'Amazing🔥 0:05'
66,"'The wheezing laughter immediately after Lingard said ""You alright Neymar sunny innit"" had me dead. Made it ten times funnier 😂😂😂'"
67,'Proud Mancunian here! 🙌😂 love these two! ❤'
68,'tHe wEaThO'
69,'Ayo Neymar it’s sunny innit'
70,'Nah dis was funnnyy this duo been funny 😂😂'
71,"'""Yo NeY SuNnY iNnIt?""'"
72,'Yeah yeah 😂'
73,'“Yo Neymar
74,sunny innit?”'
75,'Yo Neymar Sunny innit?'
76,'No no no no no the wever?! the wever?!😂😂😂😂'
77,'I’m sad to say that I bite my nails aswell 😞'
78,'The weva😂'
79,'2:26'
80,'Hey neymar sunny init'
81,'am i the only one noticing rashy saying eveon instead of everton 4:41 😂😂😂'
82,'Sunny innit dude'
83,'0:01😂😂😂😂'
84,'ENGLAND']
85,['Can you do Aaron Ramsdale and Ellie Roebuck vs Sandy Maciver and Jordan Pickford next?'
86,'Leah Williamson is leng'
87,'6:32 what did Jack say?'
88,'Do you feel an intelctual conversation developing!!!'
89,'i know who rice and grealish are  but who are those women????  i thought this was a football video?'
90,'Leah and jack at 8:19 ❤❤'
91,'Jack saying all the kiddy answers cracks me up'
92,'Speed Climbing and Skate boarding aint  Olympic Sport!!!'
93,'I watched this 4 the 10000000th time'
94,'Team socks pulled up as high as possible vs socks down low'
