,Unnamed: 0,0,sentiment
1,1,i hope want u sign that,positive
3,3,cmon rice thai food delicious,positive
4,4,let honest shot back pas,positive
7,7,not jut think newbie team like lucy parker esme morgan jess park salmon james new played match younger didnt know love old clip,positive
9,9,well cute,positive
10,10,lucy keira playing video game,positive
13,13,type video always top tier,positive
14,14,underrated maligned superb,positive
15,15,all day all day all day okay okay okay,positive
17,17,jack nose treble celebration party would great answer q2,positive
19,19,arsenal everton playing golf,positive
21,21,it time new celebration it like saying ronaldo need new celebration,positive
24,24,a true genius genius,positive
27,27,and got two idiot jill scott best,positive
29,29,yo neymar sunny innit,positive
32,32,the wheezing laughter immediately lingard said you alright neymar sunny innit dead made ten time funnier,positive
33,33,justice rashmi samanth,positive
35,35,this great vid,positive
38,38,beckham ability speak ball,positive
40,40,sunny innit,positive
42,42,all saying rashford best it,positive
43,43,jude look like he bombshell love island w pose,positive
45,45,little know hed also 100m player well,positive
46,46,615 nhopefully dont annoy many peoplenwe do,positive
49,49,pay pound watch play game,positive
50,50,tammy joke,positive
51,51,this love england football team boy girl woman menu000e0067u000e0062u000e0065u000e006eu000e0067u000e007fu000e0067u000e0062u000e0065u000e006eu000e0067u000e007fu000e0067u000e0062u000e0065u000e006eu000e0067u000e007fu000e0067u000e0062u000e0065u000e006eu000e0067u000e007f uncle aunt cuz brother sister british niece going lioness future u000e0067u000e0062u000e0065u000e006eu000e0067u000e007f,positive
55,55,sirina need let know wear airport flying im going make guess say gatwick might plan tell plane going landing time need passport also tell little bit hotel staying apart gorgeous beautiful roommate,positive
59,59,oh word lose hungary 2 time hope euro thought chance,positive
62,62,funny,positive
63,63,i wish could meet you,positive
66,66,you guy best team seen life,positive
67,67,great,positive
68,68,girl intelligent boyz,positive
69,69,mead fun,positive
71,71,dream team,positive
73,73,should cocaptains bronze captain 2023 must want be,positive
74,74,know best goal list,positive
75,75,very underrated striker injury really robbed career one best england produced dont know never got much hype rooney every bit top striker,positive
78,78,you guy need world cup cutest,positive
79,79,im looking video declan rice coz he radio silent since arsenal deal im gon na watch anything find guy join finally watch arsenal interview stuff come gooners,positive
81,81,i love lucy much amazing,positive
83,83,we gon na let wardprowse free kick italy qualifying,positive
85,85,yeah yeah,positive
88,88,coaching absolute favorite player england squad,positive
92,92,keira walsh watching like,positive
97,97,hungarian great respect prague,positive
99,99,this main character energy right there,positive
100,100,really attracted english premiere league reason behind scene one david beckham like maradona english team proved motivational part game english team fantastic player wa,positive
103,103,please lioness it funny watch,positive
104,104,give man knighthood one favorite game call ever,positive
105,105,hopefully dont annoy many people we do love 2,positive
107,107,the communication amazing,positive
108,108,love two,positive
114,114,i didnt realise much player play rondo game look pretty fun fare,positive
118,118,hempo playing table tennis,positive
119,119,love girl,positive
121,121,lucy come across cool normal person proper footballer too,positive
125,125,i love beth england voice,positive
126,126,i love much,positive
127,127,would interesting,positive
128,128,wow amazing,positive
129,129,i wish see steph houghton eruo 21 eruo 22 win eruo champion,positive
130,130,this video much joy,positive
131,131,why playing eachother,positive
133,133,jill would great strictly,positive
134,134,enjoy,positive
135,135,well,positive
140,140,602 oh leah williamson crown would interesting,positive
141,141,i like chinese,positive
142,142,love this,positive
143,143,yorkshire tea definite,positive
145,145,here come champion made laugh hard jill got funniest ever be,positive
148,148,like georgia would argue right need go someone who gon na let right love girl sm,positive
149,149,i love lucy,positive
150,150,credit them,positive
154,154,you convince wasnt high that,positive
156,156,these two love them,positive
157,157,keira look like alyson hannigan american pie,positive
158,158,leah beautiful,positive
160,160,i love lucy bronze much,positive
169,169,fifa 19 rice look like foldant,positive
171,171,nobody better,positive
175,175,nah dis funnnyy duo funny,positive
178,178,actually forgot actual best goal v argentina haha ironic,positive
179,179,she best goal keeper united lioness,positive
180,180,trent brutally honest talking coady rondo ngotta love lad,positive
181,181,well done 7,positive
182,182,mcmanaman scholes mid great pairing,positive
186,186,daly dose brightness bahahahahaha,positive
187,187,043 shut harry saka deserves knighthood straight away 411,positive
188,188,is jack villa fan,positive
189,189,i care anyone say duo incredible,positive
191,191,nice,positive
192,192,she national treasure,positive
193,193,such great idea video loved much georgia reaction class,positive
195,195,well done mary,positive
197,197,need see peter crouch jill scott play together,positive
198,198,oh sweet aswell shh,positive
199,199,keira answered leahs question leah funny thing leah let her,positive
204,204,of course english great indian food,positive
205,205,lucy funny xd,positive
208,208,hey neymar sunny init,positive
211,211,plz give justice her,positive
213,213,georgia certainly take pen better nowadays,positive
214,214,relieved drain,positive
216,216,lol,positive
218,218,rice look like foden,positive
219,219,the ignorance video astounding never chinese,positive
221,221,i love new save eruo 22 making u win it,positive
224,224,rice gold silver card look like phill foden xd,positive
225,225,bee england ask prez help bi already,positive
226,226,lgbt proud team,positive
227,227,cute scott unitt room next even arent jill shelley,positive
228,228,best friend,positive
230,230,nice see guy make laugh,positive
231,231,need see stanway toone contemporary dance haha,positive
232,232,my fave part hemp bronze ignoring shooting hoop hahahah,positive
233,233,aool theeee best english,positive
239,239,i really want see meet whole squad,positive
244,244,leahs laugh hilarious,positive
246,246,znakomity pikarz wielki talent,positive
251,251,shes sooo cute better josh loved top fearlessness bring back world,positive
