,Unnamed: 0,0,sentiment
0,0,,neutral
5,5,126 keira lucy,neutral
6,6,why see men new gear,neutral
8,8,nketiah jollof,neutral
12,12,steven gerrard assist,neutral
16,16,connor coady,neutral
18,18,girl roasting fran,neutral
20,20,when 2nd pool video filmed,neutral
22,22,how jill scott room snext unitt room also surname jill fiance shellyni know thats rachel unitts room,neutral
23,23,you guy know gone,neutral
25,25,100 million pound mate say declan,neutral
26,26,you tell leah keira really close,neutral
30,30,he got altogether goalsmaybe th all,neutral
31,31,provisional license reach username instagram enquiry,neutral
34,34,michael owen child marveleus,neutral
36,36,they traning none match,neutral
37,37,all hungary goal class,neutral
39,39,hello issue way getting uk driver license,neutral
41,41,jack absolute buzzing card,neutral
44,44,let go england,neutral
47,47,yo neymar,neutral
48,48,stoke city lagend,neutral
52,52,goalkeeping pirate,neutral
53,53,absolute genius,neutral
54,54,somehow waiting see peruvian wasnt,neutral
60,60,httpswwwyoutubecomshortsuzwg3sv9zew,neutral
61,61,how know jack grealish aa irish,neutral
64,64,lucy im old,neutral
65,65,mearps,neutral
72,72,simplemente el loco,neutral
77,77,rahford,neutral
80,80,what wa score,neutral
82,82,that goal greece pure goosebump,neutral
84,84,ela muito elegante jogando futebol,neutral
87,87,aww,neutral
90,90,england,neutral
91,91,just looking liverpool new signing,neutral
93,93,636 plss declan freaking funny though,neutral
94,94,gd workout,neutral
96,96,doe american real food meanwhat characteristic,neutral
101,101,why african continent 52 footballing nation audience almost 2billions get 5 place world cup,neutral
102,102,cmon,neutral
109,109,when young,neutral
111,111,im italian,neutral
112,112,v argentina,neutral
113,113,vale park,neutral
115,115,dem accent doe,neutral
116,116,lioness,neutral
117,117,i shin pad opposite leg,neutral
120,120,i wembley fateful day guy,neutral
123,123,206 zestyyyy,neutral
124,124,finger long leg would probably much even lesbian,neutral
132,132,scooter wheelbarrow,neutral
136,136,1241,neutral
137,137,what match this,neutral
138,138,and leadership everyone leader,neutral
152,152,new shirt yet lioness still awful purple training kit playing old shirt many year look usa kitted looking date please sort,neutral
153,153,recuerdo haber visto este partido cuando tena do mil da de haber nacido,neutral
159,159,new training kit,neutral
161,161,1010 person lucy bronze,neutral
162,162,tammy v jack,neutral
163,163,etc,neutral
164,164,i expecting see goal brazil nnanyways,neutral
165,165,she say sound lot,neutral
166,166,city,neutral
167,167,leah jack 819,neutral
170,170,the weatho,neutral
172,172,1000th view,neutral
173,173,lucy captain leaderu000e0067u000e0062u000e0065u000e006eu000e0067u000e007f,neutral
174,174,refreshing humanity player,neutral
176,176,now theyre 100m pound,neutral
177,177,554,neutral
183,183,such tight knit quality group lad,neutral
184,184,7th,neutral
194,194,rice eat rice,neutral
196,196,once upon time chelsea,neutral
200,200,georgia make day,neutral
201,201,lucy portuguese,neutral
202,202,bravo,neutral
203,203,to heavyyyyy leah,neutral
206,206,rachel need fill side gap,neutral
207,207,behind,neutral
209,209,hungary dogland,neutral
210,210,hungaryyyyyyyybest,neutral
212,212,lucy fantastica defensa,neutral
215,215,im irish,neutral
217,217,youtube bebe noelia,neutral
222,222,heart soul england team,neutral
223,223,nandos entirety thai cuisine,neutral
229,229,in 2x speed sound welsh,neutral
234,234,leah sort,neutral
235,235,jill scott took u tour around basecamp back first arrived lensbury ahead opening weuro2022 group match,neutral
236,236,var thats line,neutral
237,237,assam tea,neutral
238,238,lucy bronze,neutral
240,240,226,neutral
241,241,im now tell others specially ellen,neutral
242,242,this kid,neutral
243,243,such long discussion rondo,neutral
245,245,why got irish flag on,neutral
247,247,i remember watching game live tv 7 8,neutral
248,248,muy divertida que bonita personalidad,neutral
249,249,beer rather,neutral
