,Unnamed: 0,0,sentiment
1,1,i think bmx injury,negative
5,5,the sixer management team ruined kid misdiagnosing injury dude twitter broke it shoulder literally sits different level arm arm,negative
8,8,tmac would defeat durant would close,negative
10,10,he tried get deep fucked up,negative
12,12,im going lie argument lebron horrible many hole perspective lol,negative
13,13,therefore never better player shaq,negative
22,22,thanks exposing medium pundit lack research proof peopleneed research own even come something small watching sport,negative
23,23,remember destroying spur playoff it interesting never mentioned colorado thing reason kobe poor performance final piston 04 made several time agree kobe wasnt good 0405,negative
25,25,tmac pissed lol jit so south florida,negative
38,38,he robbed lebron goin 04 playoff smh,negative
39,39,see say mac mac came straight high school league dominating mean beast need college develope enough said,negative
42,42,the disrespect im seeing tmac must 2000 baby here prime tmac hell league would team,negative
45,45,scared approach jordan practice,negative
64,64,kendrick perkins proved he idiot,negative
73,73,rookie year 7 millionn2nd year 83 millionn3rd year 97 millionn4th year team option 122 million n5th year player option 159 millionn unlikely hell get team option 4th year especially produce upcoming 3rd year nba career literally line year,negative
77,77,you full shit coj lebron finished 2nd mvp voting possibly way 4th championship wrong hiding asshole,negative
78,78,kendrick perkins terrible he lebron fanboy,negative
79,79,you really made understand reason superteam movement big wig know trying do trying get old league back cant trick intelligent man believing were looking next jordan lebron,negative
89,89,thats happened jayson williams played chicago motorcycle accident,negative
91,91,apology here keep bringing seem astute e solo la mia opinione pace,negative
96,96,jealousy jealousy,negative
102,102,channel speaks commonsense manner most rant might belong another forum,negative
103,103,the fact pippen never show winning 1 mean anything,negative
106,106,kendrick bitch payroll,negative
107,107,draymond never top 20 smfh,negative
111,111,must pay get team another level lebron,negative
112,112,heard shoulder injury regular bmx rider,negative
113,113,percalater never factor final u say curry dont rise occasion friend beard dr jeckle mr hyde let tell steph handed stuff he golden boy new york lingo foh,negative
117,117,ie one shot run klay could changed whole outlook nnthe argument kd stats,negative
119,119,no,negative
120,120,yes offensively tmac kd got defense offense blow out,negative
129,129,4 loss final fact last two season,negative
131,131,watch magic throwing assist assist jordan head jordan worried magic posting up instead magic picked bull defense apart pick poison scottie put kibosh shit,negative
133,133,even wizard mj pushing 40 20 lb playing weight jordan feared could kill you stats washington par paul pierce star season,negative
147,147,steph curry flat choked harden everyone would say it dude missed wide open shot game 6 curry birthday caked it,negative
159,159,do forget serge iblaka,negative
162,162,rank shaq olajuwon duncan ahead him he horrible leader qualifies greatness as stuck number 10 get 5 ring might put 8th,negative
163,163,why keep stopping damn video,negative
164,164,you know what anthony davis sold short big timei feeling he going live regret decision,negative
180,180,where hell two sack sucker come james good player great never been,negative
183,183,give mac ruthless court kd really killer instinct shot fall,negative
185,185,518xa0 knight problem barkley barkley talked back him,negative
187,187,ai jason richardson craziest athleticism ive ever seen,negative
188,188,that orlando magic tmacsmh sheesh perfect offensive weapon,negative
195,195,mutombo old final point recall still remember blocking hell kobe lmao,negative
196,196,there youtube video motorcycle accident nba youtuber,negative
205,205,when lebron retires forgottenwhen jordan dy leave memory generation come till day planet earth extinct,negative
208,208,might hell never ahead tim duncan never,negative
211,211,rude baker,negative
212,212,and wonderis stephen smith weeeeeeed lmaoo shit made day,negative
213,213,im anti aau aau play remove time development home town star sebastian telfair never time develop jump shot smh,negative
216,216,man soooooo hate combination woman nextremely loud obnoxious,negative
218,218,kendrick hating curry ending career,negative
227,227,raptor already landed lakers loss,negative
228,228,lashannon james really really bad boo thang,negative
230,230,lost mind one statement smh nba watching dude kobe scored whole team 3 quarter pay attention watch nba game dude,negative
231,231,short answer no,negative
233,233,dirty rodman,negative
242,242,w much hate go around warrior blame tooting thier horn,negative
246,246,understand west coast offense role moving point two guard,negative
249,249,no team lone player avg 10 assist lion share assist team title lone exception would magic loaded team,negative
250,250,compared jackie moon killed him,negative
251,251,emotion alone show sign lack strength weakness word people exhibit symptom cant trusted lead allow judgment outweigh common sense entertainer luciferians believe lucifer actual deity,negative
254,254,praise regular basis highest form ignorance reject something know nothing about entertainer enhancement drug,negative
265,265,drj averaged 248422 much better kobe 2555 kobe stats compared group probably weakest west 2767 big 2679 moses 2012 elgin baylor 27134 isiah 1949 havlicek 2165 come lower kobe career stat line way kobe shot ball average 2829 ppg career,negative
273,273,hakeem olajuwon block nba history schooled shaq 95 final enough said,negative
276,276,prepped nba 82 game year alot getting hurt,negative
279,279,dood funny hell man real,negative
280,280,i heard motorcycle accident well,negative
282,282,final mvp never meant one best world,negative
293,293,seriously come back judah,negative
299,299,using motorcycle anything hurt player team invested in,negative
300,300,sam bowie became walton 20 far injury go,negative
308,308,look painful watching slow motion,negative
