,Unnamed: 0,0,sentiment
1,1,tedy bruschi look like bruno mar,positive
3,3,if went someone like,positive
7,7,is jack villa fan,positive
8,8,mcmanaman scholes mid great pairing,positive
10,10,wow,positive
13,13,she said ad named western conference player week first thing nigga said wa lebron amazing,positive
16,16,leah fit,positive
19,19,wrong move mgmnt 2 fire vj given 2 season team 2 grow arike injury played major part loss 2 sun thats dallas series 2 win 1 effectively ready 2 step place arike mccowan physical condition 2 play minute time play lazy,positive
21,21,czinano good pick up,positive
22,22,cute scott unitt room next even arent jill shelley,positive
24,24,im incredibly impressed monica zia im huge iowa fan im familiar great monica happy her seeing zia game iowa must many coach wondering missed drafting her cant wait see teammate,positive
26,26,lucy funny xd,positive
27,27,this main character energy right there,positive
31,31,steven azzwhole smith straight buck dancing sellout,positive
33,33,jordan entire different level someone like lebron comparing lebron jordan insult jordan legendary greatness lebron great player,positive
34,34,like russell worstbrick,positive
36,36,i hope want u sign that,positive
38,38,stop jordan fan end day matter say till pippen took responsibility playing team best player jordan ever win,positive
43,43,no wonder red card sent make laugh,positive
44,44,i proud lady cant wait season start,positive
45,45,znakomity pikarz wielki talent,positive
49,49,amazing coaching,positive
51,51,im loving enjoyment commentary team,positive
52,52,this perfect year later,positive
53,53,that goal greece one best moment ive seen football zero hero magic right foot,positive
55,55,like great player great enough drag injury riddled team victory,positive
57,57,hey neymar sunny init,positive
67,67,enjoy yourself whoever created marketing video announcement genius bumped brand got money pocket right bat way go,positive
74,74,like sweet lady,positive
79,79,yes great choicelsu,positive
80,80,the reason saying medium already put steph curry second greatest pg behind magic 2016,positive
81,81,make another great point stating wherever james played,positive
82,82,remarkable watch tv too history,positive
83,83,hope make it remember getting cooked caitlin clark,positive
86,86,there lot player want play wont say for bob knight indiana bob knight known flaky stuff happen ref conspiracy theory nba ha olympic team stacked team year number player went become pro,positive
89,89,amazing 005,positive
92,92,congratulation best yet come,positive
93,93,yeah yeah,positive
98,98,that white guy sound like believe he saying,positive
102,102,good daythere thing subconsciously bos mode long good good good regardless circumstanceseven dig nose stop light gooodfor others particular ilkyou know sayingyou drop consciously way didpoor guy,positive
106,106,she still b russia bring marine home least appreciation america n show respect american flag,positive
108,108,you guy need world cup cutest,positive
109,109,where try kiss cause see it,positive
111,111,men want boy can,positive
112,112,well done 7,positive
113,113,around 1550 yeah,positive
114,114,yeah get ahead ball fast break lady run along side dribbler sprint ahead kp anesia use baseball pas go tiger,positive
117,117,615 nhopefully dont annoy many peoplenwe do,positive
118,118,what beautiful person sue is inside out,positive
120,120,win another mvp get another final wait,positive
127,127,monika look pretty cute here,positive
130,130,please make sure configure account correctly decide much decide pay,positive
132,132,keira answered leahs question leah funny thing leah let her,positive
133,133,glad see girl take seriously sc fan,positive
134,134,goated fasho cp def top 5 female ever,positive
135,135,not gon na take klay thompson 24 month especially shoot play defense,positive
136,136,my favorite teamcongrats campeonas,positive
138,138,wow college rival wnba teammate thinglol lol,positive
140,140,thankful view video youtube taken down sure taken youtube great thanks god bless,positive
143,143,not sound sycophantic whatever childish shenanigan lebron delf creating team cohesivenesshis track record reaching final stage consistently prof worknand point top team playing without main driversad shown claimingthe buck hand kind okntalking variableshunnnot minimize ad defensive skill top notch playing along great point guard help ad shine offensively,positive
144,144,let frank wnba desperately need add expansion team year ton rookie need roster awesome talent play hard league year like wnba cut outstanding rookie wats wrong u u watchec march madness rookie played butt need looked reconsidered u missing lot talent cut ur roster mind,positive
151,151,thats laugh everytime hear someone say larry bird greater lebron james larry bird dominated league player rarely worked out judah like say player today using peds elevate jordan bird era,positive
154,154,hi millie different hope mind were stand bee attracts always best flower,positive
155,155,the wnbawnbapa owner agree next cba allow signing bonus 200000 800000 counted towards salary cap besides base salary,positive
156,156,thats happens leave early nba get paid physically fit,positive
160,160,played 51 game season whole playoff curry outplayed him 2019 final showed great steph,positive
162,162,shes great lucky you,positive
163,163,bobby charlton el grande ha fallecido,positive
164,164,going floor it congrats,positive
165,165,drake need get team toronto asap crowd game pre season beautiful see,positive
169,169,his technique incredible goal one beautiful other time one absolute favorite player idol,positive
170,170,i love lucy,positive
171,171,see why probably decision top way handle iowa wnba need shall say better high profile player,positive
172,172,your funny but,positive
173,173,thank supporting channelnnhttpswwwpaypalmechroniclesofjudah144nncash app chroniclesofjudah144nnhttpswwwpatreoncomchroniclesofjudah144nnnew email listnnchroniclesofjudah144emaillistgmailcomnnjoin email list update channel,positive
182,182,scoring champion goal medal winner olympics great accomplishment nba champion player chance be ultimate goal every great player like stanley cup,positive
183,183,it fair say declan deserves upgrade shooting,positive
184,184,great episodekeep great job promoting sport,positive
185,185,23 got good active hand,positive
191,191,thank god clip thats talking angel reek,positive
193,193,602 oh leah williamson crown would interesting,positive
194,194,like georgia would argue right need go someone who gon na let right love girl sm,positive
195,195,were going playing now,positive
196,196,alone would allow question one ability term good are female speaker clue,positive
198,198,know major improvement statistic especially playoff statistic,positive
199,199,hahaha amazing max,positive
200,200,please configure account correctly based fact 40 exclusive video platform 4 instructional video patreon page understand bill yourselfnnhttpswwwgofundmecomfchroniclesofjudah144nnvenmo chroniclesofjudah144 nnnew email listnnchroniclesofjudah144emaillistgmailcomnnjoin email list update channel,positive
202,202,love this,positive
204,204,ziaso proud youzia monica playing together war long ago tournamentthat college game epic two warrior playing togethergreat,positive
207,207,3 blazer background look like kds pop lol,positive
208,208,did anyone catch bio scottie dunked patrick ewing really hard lol,positive
209,209,i said dirk nowitzki better kobe,positive
213,213,p fine,positive
214,214,i agree 90 tougher make seem like dude bench pressing sideline dude getting stretchered court driving lane,positive
217,217,sir chroniclesofjudah hu best defender altime hu put,positive
218,218,when going get tough it playoff time could never compare mvp winner best player like kdbron,positive
221,221,lucy bronze easily best smile football,positive
223,223,follow dream always,positive
227,227,congrats aliyah time,positive
228,228,that 84 team arguably greatest amateur team ever assembled,positive
230,230,talented skillful individually kobe,positive
231,231,is mom single sheesh thats beautiful woman jumper wet baby girl,positive
234,234,ref world wan na act like underdog underdog won congratulation ace,positive
235,235,fultz people term sad eye issue laughing matter,positive
237,237,ayoka lee transfer talented able compete national championship,positive
238,238,let get work run back welcome family let run back go gamecock,positive
246,246,steph guy play like lonzo ball it time go real,positive
247,247,551 leah laughing 3,positive
248,248,shannon sharpe love lebron,positive
251,251,would liked seen transfer talent rich team better support like sc,positive
252,252,look like pilar might game,positive
