,Unnamed: 0,0,sentiment
2,2,not keira lucy sitting together playing fire,negative
11,11,let strech yhe dog absolutely killed hahahah,negative
28,28,she admitted lock fifa grind still lost understand struggle,negative
56,56,the way asked fran shed stopped growing,negative
57,57,ungern vann p kliniskt effektivare fotboll djuplednsvrt att frsvara sig mot lag som spelar luckor och lper hg fartnengland kan bttre n smen spelstil de mtte var inte enkel,negative
58,58,going real madrid biggest mistake,negative
70,70,summing cuisine one two stereotypical dish known outside country origin keep getting worse,negative
76,76,have stopped growing,negative
86,86,what penalty,negative
89,89,bit lazy goalie,negative
95,95,so sad think german food bratwurst sausage,negative
98,98,ramsdale horrific,negative
106,106,ill never forget watching last goal long live,negative
110,110,absolutely useless,negative
122,122,no wever wever,negative
139,139,if concentrated training stop behaving like twat might improve,negative
144,144,wag wan chicken,negative
146,146,find difficult understand coady said,negative
147,147,so sad see captain world cup,negative
151,151,the fact didnt mention kebab talking turkish food annoying,negative
155,155,how crib deek your get man baby gross thing,negative
168,168,803 getting flashback drunk lucy,negative
185,185,i kinda felt bad tammy said hot chocolate,negative
190,190,all interview stopping girl house work,negative
220,220,cleary insane roast klse everything german food insanely underrated shitstormed likley social medium,negative
250,250,no way rice level nunez,negative
274,274,im sad say bite nail aswell,negative
305,305,my man tammy failing bruv,negative
318,318,if missed tho,negative
334,334,do feel one older player now gagged lucy bit,negative
345,345,the epic yet useless move football,negative
349,349,it insane international career r almost identical others,negative
365,365,that penalty,negative
399,399,mount talking bad form,negative
435,435,team sock pulled high possible v sock low,negative
447,447,silenced awful crowd well,negative
