,id,title,description,comments
0,T7aWBdSL430,"2023 WNBA Finals: How A'ja Wilson, Las Vegas Aces celebrated their title","2023 WNBA Finals: How A'ja Wilson, Las Vegas Aces celebrated their title, Gigi Speer reports live inside the celebration postgame","['Aye!!!!! Congrats!!!!', ""And those 8 seconds Brianna double dribble and they didn't call it"", 'The silence is deafening 😊', 'Alysha Clark put Stevie on Lockdown.', 'My favorite team!🎉🎉🎉❤congrats  campeonas🎉', 'Damn.', ""Let's celebrate aces.🎉""]"
1,IXZvFmzzHdE,"Diana Taurasi reacts to becoming first WNBA player to reach 10,000 points","On Thursday evening, Diana Taurasi of the Phoenix Mercury became the first player in WNBA history to reach 10,000 career points. The league veteran shared during a press conference how she plans to celebrate.

Follow & Subscribe on All Podcast Platforms… 
🎧 https://link.chtbl.com/LOWomensBasketball?sid=YouTube

Locked On NBA League-Wide: Every Team, Fantasy, Draft, WNBA & More
🎧 https://linktr.ee/LockedOnNBA

Follow Locked On Women's Basketball on Twitter:
https://twitter.com/lockedonWBB

Follow The Next on Twitter: 
https://twitter.com/thenexthoops

--------------------------------ABOUT LOCKED ON Women's Basketball -------------------------------------
Locked On Women's Basketball is a daily podcast covering all aspects of the women's basketball world! Join host Howard Megdal (The IX, The Next) as he interviews the incredible staff of The Next, along with the biggest and most influential names in the sport. All that and more on Locked On Women's Basketball, part of the Locked On Podcast Network.

--------------------------------ABOUT OUR SPONSORS-------------------
Support Us By Supporting Our Sponsors!
BetOnline AG
There is only 1 place that has you covered and 1 place we trust. Betonline.ag! Sign up today for a free account at betonline.ag and use that promocode: LOCKEDON for your 50% welcome bonus.

Built Bar
Built Bar is a protein bar that tastes like a candy bar. Go to builtbar.com and use promo code “LOCKED15,” and you’ll get 15% off your next order.

StatHero
StatHero is the first of its kind Daily Fantasy Sports platform where it’s YOU vs. the HOUSE in head to head fantasy matchups - winner take all. Sign up for FREE - RIGHT NOW - at StatHero.com/HOCKEY and use promo code HOCKEY for a One Hundred Percent Deposit Match.

#WNBA #NCAA #WomensBasketball #WomensBasketballCollege",[]
2,NbAT9wxTTJU,"2023 WNBA Draft: Aliyah Boston first to Indiana Fever, Winners #womensbasketball",,['Love your WBB journalism. Thanks for reporting.']
3,q5voiuc68uI,Sue Bird takes New York one last time | WNBA podcast,"Sue Bird conquered New York one last time on Sunday, and our Howard Megdal and Em Adler were there to see it. Howard talks about the afternoon, then Sue answers questions on everything from what's next to how it felt in the moments after her final shot, a long made three-pointer of course, dropped through the net at Barclays Center. Live through history with us... one last time.

Follow Locked On Women's Basketball on Twitter:
https://twitter.com/lockedonWBB

Follow The Next on Twitter: 
https://twitter.com/thenexthoops

--------------------------------ABOUT LOCKED ON Women's Basketball -------------------------------------
Locked On Women's Basketball is a daily podcast covering all aspects of the women's basketball world! Join host Howard Megdal  (The IX, The Next) as he interviews the incredible staff of Th Next, along with the biggest and most influential names in the sport. All that and more on Locked On Women's Basketball, part of the Locked On Podcast Network.

--------------------------------ABOUT OUR SPONSORS-------------------
Support Us By Supporting Our Sponsors!
BetOnline AG
There is only 1 place that has you covered and 1 place we trust. Betonline.ag! Sign up today for a free account at betonline.ag and use that promocode: LOCKEDON for your 50% welcome bonus.

Built Bar
Built Bar is a protein bar that tastes like a candy bar. Go to builtbar.com and use promo code “LOCKED15,” and you’ll get 15% off your next order.

StatHero
StatHero is the first of its kind Daily Fantasy Sports platform where it’s YOU vs. the HOUSE in head to head fantasy matchups - winner take all. Sign up for FREE - RIGHT NOW - at StatHero.com/HOCKEY and use promo code HOCKEY for a One Hundred Percent Deposit Match.",['What a beautiful person Sue is; both inside and out!!']
4,geUR04w5eW0,Inside the incredible turnaround of Illinois under Shauna Green | Women's Basketball Podcast,"Host Howard Megdal welcomes Illinois head coach Shauna Green to the latest episode of Locked On Women's Basketball. The two discuss Illinois' incredible 14-3 start, why the Big Ten was always the goal for Green, along with the nuts and bolts of how she's turned the Fighting Illini into a juggernaut so quickly. The history at Dayton, her MAAC playing days at Canisius and much more are all discussed. 

Follow & Subscribe on all Podcast platforms… 
🎧 https://link.chtbl.com/LOWomensBasketball?sid=YouTube

Locked On NBA League-Wide: Every Team, Fantasy, Draft, WNBA & More
🎧 https://linktr.ee/LockedOnNBA


Follow Locked On Women's Basketball on Twitter:
https://twitter.com/lockedonWBB

Follow The Next on Twitter: 
https://twitter.com/thenexthoops

--------------------------------ABOUT LOCKED ON Women's Basketball -------------------------------------
Locked On Women's Basketball is a daily podcast covering all aspects of the women's basketball world! Join host Howard Megdal (The IX, The Next) as he interviews the incredible staff of The Next, along with the biggest and most influential names in the sport. All that and more on Locked On Women's Basketball, part of the Locked On Podcast Network.

--------------------------------ABOUT OUR SPONSORS-------------------
Support Us By Supporting Our Sponsors!
BetOnline AG
There is only 1 place that has you covered and 1 place we trust. Betonline.ag! Sign up today for a free account at betonline.ag and use that promocode: LOCKEDON for your 50% welcome bonus.

Built Bar
Built Bar is a protein bar that tastes like a candy bar. Go to builtbar.com and use promo code “LOCKED15,” and you’ll get 15% off your next order.

StatHero
StatHero is the first of its kind Daily Fantasy Sports platform where it’s YOU vs. the HOUSE in head to head fantasy matchups - winner take all. Sign up for FREE - RIGHT NOW - at StatHero.com/HOCKEY and use promo code HOCKEY for a One Hundred Percent Deposit Match.

#WNBA #NCAA #WomensBasketball #WomensBasketballCollege",['Really glad to have Coach Green at Illinois. Go Illini!']
5,pxWSNrqbXWE,Alex Fowler of Portland talks to The Next after Portland's WCC tournament win,"Follow & Subscribe on all Podcast platforms… 
🎧 https://link.chtbl.com/LOWomensBasketball?sid=YouTube

Locked On NBA League-Wide: Every Team, Fantasy, Draft, WNBA & More
🎧 https://linktr.ee/LockedOnNBA


Follow Locked On Women's Basketball on Twitter:
https://twitter.com/lockedonWBB

Follow The Next on Twitter: 
https://twitter.com/thenexthoops

--------------------------------ABOUT LOCKED ON Women's Basketball -------------------------------------
Locked On Women's Basketball is a daily podcast covering all aspects of the women's basketball world! Join host Howard Megdal (The IX, The Next) as he interviews the incredible staff of The Next, along with the biggest and most influential names in the sport. All that and more on Locked On Women's Basketball, part of the Locked On Podcast Network.

--------------------------------ABOUT OUR SPONSORS-------------------
Support Us By Supporting Our Sponsors!
BetOnline AG
There is only 1 place that has you covered and 1 place we trust. Betonline.ag! Sign up today for a free account at betonline.ag and use that promocode: LOCKEDON for your 50% welcome bonus.

Built Bar
Built Bar is a protein bar that tastes like a candy bar. Go to builtbar.com and use promo code “LOCKED15,” and you’ll get 15% off your next order.

StatHero
StatHero is the first of its kind Daily Fantasy Sports platform where it’s YOU vs. the HOUSE in head to head fantasy matchups - winner take all. Sign up for FREE - RIGHT NOW - at StatHero.com/HOCKEY and use promo code HOCKEY for a One Hundred Percent Deposit Match.

#WNBA #NCAA #WomensBasketball #WomensBasketballCollege",['Nice']
6,2pwub1sXVzM,Vickie Johnson fired in Dallas; where do Arike Ogunbowale and the Wings go from here? | WNBA Podcast,"Despite two years of on-court progress, the Dallas Wings are moving on from the Vickie Johnson. It's yet another restart for the Wings, who will be hiring their fifth head coach since relocating from Tulsa in 2016. What does it mean for the partnership between Marina Mabrey and Arike Ogunbowale? Can Charli Collier finally find some time on the floor? And what were the disconnects between Greg Bibb and Vickie Johnson that led to her departure? Host Howard Megdal is joined by The Next's Dallas Wings beat reporter, Arie Graham, to talk about it all.

Follow Locked On Women's Basketball on Twitter:
https://twitter.com/lockedonWBB

Follow The Next on Twitter: 
https://twitter.com/thenexthoops

--------------------------------ABOUT LOCKED ON Women's Basketball -------------------------------------
Locked On Women's Basketball is a daily podcast covering all aspects of the women's basketball world! Join host Howard Megdal  (The IX, The Next) as he interviews the incredible staff of Th Next, along with the biggest and most influential names in the sport. All that and more on Locked On Women's Basketball, part of the Locked On Podcast Network.

--------------------------------ABOUT OUR SPONSORS-------------------
Support Us By Supporting Our Sponsors!
BetOnline AG
There is only 1 place that has you covered and 1 place we trust. Betonline.ag! Sign up today for a free account at betonline.ag and use that promocode: LOCKEDON for your 50% welcome bonus.

Built Bar
Built Bar is a protein bar that tastes like a candy bar. Go to builtbar.com and use promo code “LOCKED15,” and you’ll get 15% off your next order.

StatHero
StatHero is the first of its kind Daily Fantasy Sports platform where it’s YOU vs. the HOUSE in head to head fantasy matchups - winner take all. Sign up for FREE - RIGHT NOW - at StatHero.com/HOCKEY and use promo code HOCKEY for a One Hundred Percent Deposit Match.

#WNBA #NCAA #WomensBasketball #WomensBasketballCollege","[""She was overrated as a potential coach because there's a push to hire Women, (Lesbian Black Women) for jobs in coaching and front office."", 'Wow, popular topic. 333 views in a day, nice!', ""Wrong move from mgmnt 2 fire VJ.  They should've given her 2 more seasons for the team 2 grow.  Arike injury played a major part in there loss 2 the Sun's.  That's was Dallas series 2 win but they had no 1 effectively ready 2 step up in place of Arike.  McCowan isn't in physical condition 2 play more minutes.  At times she plays lazy, just as she did in college.  She can really b a beast if she get in better physical condition."", 'Marina RFA and hopefully signs elsewhere or guaranteed the point guard spot....Arike has to become a better team player or that Dallas franchise is doomed thru the life of that contract... 7 for 23 from the field on nights she is off occur way to often.She a 6th player off the bench and no coach there has put her there...Colier was overrated in College and simply a horrible pick in that draft....Next coach needs Sabally healthy and McCowan starting every game with more endurance from her part w/a demand to improve the FT %....5 years of watching this team mishandle management and coaching ..Tighten Up!']"
7,8NtQvnSb3O0,"2023 Women's Final Four: Caitlin Clark, Iowa with performance for the ages, knock off South Carolina","2023 Women's Final Four: Caitlin Clark, Iowa with performance for the ages, knock off South Carolina

Follow & Subscribe on all Podcast platforms… 
🎧 https://link.chtbl.com/LOWomensBasketball?sid=YouTube

Locked On NBA League-Wide: Every Team, Fantasy, Draft, WNBA & More
🎧 https://linktr.ee/LockedOnNBA


Follow Locked On Women's Basketball on Twitter:
https://twitter.com/lockedonWBB

Follow The Next on Twitter: 
https://twitter.com/thenexthoops

--------------------------------ABOUT LOCKED ON Women's Basketball -------------------------------------
Locked On Women's Basketball is a daily podcast covering all aspects of the women's basketball world! Join host Howard Megdal (The IX, The Next) as he interviews the incredible staff of The Next, along with the biggest and most influential names in the sport. All that and more on Locked On Women's Basketball, part of the Locked On Podcast Network.

--------------------------------ABOUT OUR SPONSORS-------------------
Support Us By Supporting Our Sponsors!
BetOnline AG
There is only 1 place that has you covered and 1 place we trust. Betonline.ag! Sign up today for a free account at betonline.ag and use that promocode: LOCKEDON for your 50% welcome bonus.

Built Bar
Built Bar is a protein bar that tastes like a candy bar. Go to builtbar.com and use promo code “LOCKED15,” and you’ll get 15% off your next order.

StatHero
StatHero is the first of its kind Daily Fantasy Sports platform where it’s YOU vs. the HOUSE in head to head fantasy matchups - winner take all. Sign up for FREE - RIGHT NOW - at StatHero.com/HOCKEY and use promo code HOCKEY for a One Hundred Percent Deposit Match.

#WNBA #NCAA #WomensBasketball #WomensBasketballCollege","['N didnt went nowhere the next game', ""She's GREAT!! Lucky you."", 'Any player can score 41 points if you are allowed by the referee crew to allow you to push off every time you have the ball.', 'Remarkable to watch on TV too. 🏀 History 👀👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏', 'The first man to ever be exited about woman’s basketball', 'Heck ya 🔥🔥']"
8,_kVJSIN8vQM,"New York Liberty fans demand Han Xu, the Chinese superstar gets the call | WNBA podcast short",,"['Power Tower= HAN XU!!!\n♥️🤟💚', 'Han Xu is an amazing player - big but fast, dominant in the paint but can shoot threes.  She can pull down a rebound, pass it off to the guard, sprint down the court and make the basket.  She is a nearly perfect center - we just all need to be patient and let her game develop.', 'The reporter speaks English to her she has a translator then responds in English... what was the point of the translator again ?', 'wooh i was surprise,,she speaks english', 'Go Han ❤', 'WE LOVE HAN XU!!!', 'She’s so adorable. Go Han Xu!!!']"
9,xPSOVbdqRIs,"How Sabrina Ionescu and the New York Liberty routed the Las Vegas Aces: ""No room for error"" #wnba",,"[""Why don't they ask her why she don't play defense"", 'Future GOAT', 'Let’s go liberty!', ""Liberty and Aces in The Finals let's go!!!"", 'Who???']"
