,Unnamed: 0,0,sentiment
2,2,i love energy nbut npracticing travel every shot,positive
6,6,follow dream always,positive
8,8,congrats aliyah time,positive
10,10,monika seriously wrong 1975n love new hair style zias got good personality nice get shadow aaliyah bostonnothing m,positive
14,14,is mom single sheesh thats beautiful woman jumper wet baby girl,positive
19,19,effective going right,positive
20,20,priceless beautiful humble,positive
21,21,let get work run back welcome family let run back go gamecock,positive
23,23,she got bright future behind her,positive
25,25,congratulation idol fr philippine,positive
26,26,czinano good pick up,positive
27,27,well,positive
29,29,im incredibly impressed monica zia im huge iowa fan im familiar great monica happy her seeing zia game iowa must many coach wondering missed drafting her cant wait see teammate,positive
31,31,look like pilar might game,positive
36,36,this team going bring heat congratulation lady there,positive
38,38,just two distinguished gentleman shaking hand,positive
46,46,i proud lady cant wait season start,positive
47,47,6rings easy,positive
48,48,she getting real good look out,positive
50,50,i big alexis morris fan,positive
53,53,amazing coaching,positive
54,54,the league lost talented defensive player beautiful woman,positive
57,57,look like excitement totally left,positive
60,60,im loving enjoyment commentary team,positive
67,67,how possible wa sshe ncaa title game like month ago,positive
69,69,more basketball awesome job sister aliyah coach staley,positive
70,70,alright haley van lith playing one one coach kim mulcheys son way 2 go there thats great basketball playing practicing haley know played one one w father guy friend too thats good got coach mulcheys son practice hoop too awesome go lady tiger lsu player haley van lith,positive
74,74,lmaooo cooking as look like female melo there,positive
75,75,nothing wrong this,positive
77,77,like dallas im candace parker fan first,positive
80,80,enjoy yourself whoever created marketing video announcement genius bumped brand got money pocket right bat way go,positive
86,86,like sweet lady,positive
87,87,everything online highlight highlight u200d,positive
88,88,wow actually putting work instead hanging buying earring hope see level brother angel reese,positive
93,93,yes great choicelsu,positive
94,94,got lot respect czinano game hope get cut,positive
96,96,hope make it remember getting cooked caitlin clark,positive
98,98,good job wnba angel reese,positive
101,101,if aint flash gun would yall care lit club,positive
105,105,natty ready,positive
106,106,they gorgeous,positive
110,110,congratulation best yet come,positive
117,117,woah vicky play sport,positive
120,120,congratulation,positive
129,129,she still b russia bring marine home least appreciation america n show respect american flag,positive
130,130,even though divorcethey still put kid 1stsome u black folk act like raised kid operate cause union longerbut union still kid born within it,positive
132,132,excellent shooteryou go girlpilar sooo coolplease add content her,positive
133,133,where try kiss cause see it,positive
136,136,men want boy can,positive
138,138,i mean disrespect why south cak southern cal wouldve first option shes american player whose number going go tremendously cause someone play position style reese 2 overall recruit mikaylah williams sec freshman year flau american hailey van lith bench two starter caliber guard poa poole talented bigs smith rosario guess shes going winning though,positive
140,140,yeah get ahead ball fast break lady run along side dribbler sprint ahead kp anesia use baseball pas go tiger,positive
141,141,lsu game want see good guard play dude wait tell next season lsu show you ok,positive
146,146,monika look pretty cute here,positive
152,152,glad see girl take seriously sc fan,positive
155,155,goated fasho cp def top 5 female ever,positive
160,160,wow college rival wnba teammate thinglol lol,positive
161,161,fun,positive
164,164,awesome,positive
166,166,very nice catch gather important,positive
167,167,such amazing weather today,positive
168,168,super congratsnthats im talking aboutngraduation,positive
169,169,nice see two wnba team faced final four great stuff,positive
170,170,let frank wnba desperately need add expansion team year ton rookie need roster awesome talent play hard league year like wnba cut outstanding rookie wats wrong u u watchec march madness rookie played butt need looked reconsidered u missing lot talent cut ur roster mind,positive
171,171,love it,positive
174,174,love brea bealwe see again,positive
175,175,i think hailey could play point pelican place cj,positive
179,179,pilar seems really love kid went little back day hopefully recuperated,positive
183,183,put beer dude lsu mop pmac face want even close gon na waiting as,positive
184,184,drake need get team toronto asap crowd game pre season beautiful see,positive
185,185,going floor it congrats,positive
188,188,see why probably decision top way handle iowa wnba need shall say better high profile player,positive
189,189,something could pop damn second thanks,positive
193,193,aneesah morrow beast think better player angel reese shoot anywhere court rebound like crazy definitely fit well lsu hopefully repeat next year,positive
194,194,kim mulkeys son one son play mlb,positive
199,199,hope sign anotha team whoop lynx ahh,positive
204,204,23 got good active hand,positive
205,205,zia gorgeous,positive
206,206,make sure caitlin clark go la spark,positive
207,207,i care whose son hvl jing butt up,positive
210,210,the player cut could play 4 usajust thought,positive
214,214,thank god clip thats talking angel reek,positive
220,220,were going playing now,positive
223,223,i wonder mom play ball level pass kinda crisp,positive
226,226,ziaso proud youzia monica playing together war long ago tournamentthat college game epic two warrior playing togethergreat,positive
228,228,will starting lineup nobody care,positive
231,231,p fine,positive
232,232,chasing money cant say blame her,positive
