,Unnamed: 0,0,sentiment
2,2,wooh surpriseshe speaks english,neutral
10,10,future goat,neutral
11,11,the wnba,neutral
18,18,power tower han xun,neutral
20,20,she overrated potential coach there push hire woman,neutral
24,24,balled out dont humble talk yo sht,neutral
31,31,the first man ever exited woman basketball,neutral
33,33,unfortunately shoulder load ksu w little talent surronding likeliness reinjury high,neutral
38,38,and 8 second brianna double dribble call it,neutral
39,39,lesbian black woman job coaching front office,neutral
40,40,the reporter speaks english translator responds english point translator,neutral
46,46,pas guard,neutral
48,48,who,neutral
49,49,coach,neutral
50,50,go han,neutral
54,54,n didnt went nowhere next game,neutral
59,59,heck ya,neutral
64,64,add ayoka lee iowa sudden caitlin clark score 40 pt ayoka lee give 1520 pt night,neutral
65,65,alysha clark put stevie lockdown,neutral
