,Unnamed: 0,0,sentiment
2,2,i hope want u sign that,positive
6,6,rice gold silver card look like phill foden xd,positive
8,8,bee england ask prez help bi already,positive
9,9,that goal greece one best moment ive seen football zero hero magic right foot,positive
10,10,the big smile face get ground say baller,positive
12,12,let honest shot back pas,positive
13,13,we need much love millie rach,positive
14,14,hempo playing table tennis,positive
16,16,cute scott unitt room next even arent jill shelley,positive
19,19,nice see guy make laugh,positive
20,20,lucy keira playing video game,positive
21,21,lucy come across cool normal person proper footballer too,positive
25,25,need see stanway toone contemporary dance haha,positive
26,26,my fave part hemp bronze ignoring shooting hoop hahahah,positive
27,27,they sweet little girl it cutest thing ever,positive
28,28,his technique incredible goal one beautiful other time one absolute favorite player idol,positive
30,30,aool theeee best english,positive
33,33,leah seems like nice person,positive
39,39,i love much,positive
40,40,jack nose treble celebration party would great answer q2,positive
42,42,shine m scott shine soooo britebeautifuls playing game,positive
47,47,znakomity pikarz wielki talent,positive
49,49,wow amazing,positive
50,50,no wonder red card sent make laugh,positive
55,55,it time new celebration it like saying ronaldo need new celebration,positive
57,57,shes sooo cute better josh loved top fearlessness bring back world,positive
59,59,never fail put smile face,positive
61,61,child always cute tony cuenca,positive
62,62,30p play basketball game long since went arcade got back blackpool lucky get game le pound now mind honest,positive
68,68,shes cool,positive
69,69,hi millie different hope mind were stand bee attracts always best flower,positive
70,70,yo neymar sunny innit,positive
72,72,england best team world,positive
73,73,602 oh leah williamson crown would interesting,positive
75,75,love this,positive
76,76,charming laidback,positive
78,78,the wheezing laughter immediately lingard said you alright neymar sunny innit dead made ten time funnier,positive
79,79,here come champion made laugh hard jill got funniest ever be,positive
80,80,doe grow journalist surely talent it interest,positive
82,82,like georgia would argue right need go someone who gon na let right love girl sm,positive
83,83,i love lucy,positive
85,85,beckham ability speak ball,positive
86,86,leeds united,positive
87,87,551 leah laughing 3,positive
89,89,jack definitely like leah,positive
90,90,party ring genius,positive
92,92,you convince wasnt high that,positive
95,95,these two love them,positive
97,97,keira look like alyson hannigan american pie,positive
102,102,leah beautiful,positive
103,103,sunny innit,positive
104,104,wwe fan alert 706,positive
105,105,i love lucy bronze much,positive
107,107,declan 100m pound mate look ya 105m pound lol,positive
108,108,yo ney sunny innit,positive
116,116,fifa 19 rice look like foldant,positive
119,119,can day life whole squad please,positive
120,120,little know hed also 100m player well,positive
121,121,615 nhopefully dont annoy many peoplenwe do,positive
122,122,love them world cup possible,positive
124,124,pay pound watch play game,positive
125,125,love,positive
127,127,this love england football team boy girl woman menu000e0067u000e0062u000e0065u000e006eu000e0067u000e007fu000e0067u000e0062u000e0065u000e006eu000e0067u000e007fu000e0067u000e0062u000e0065u000e006eu000e0067u000e007fu000e0067u000e0062u000e0065u000e006eu000e0067u000e007f uncle aunt cuz brother sister british niece going lioness future u000e0067u000e0062u000e0065u000e006eu000e0067u000e007f,positive
128,128,this legit friendship goal,positive
129,129,jack play fifa do,positive
130,130,on declan rice first fifa card look like thogdena football youtuber,positive
131,131,leah fit,positive
132,132,bobby charlton el grande ha fallecido,positive
136,136,if went someone like,positive
138,138,nah dis funnnyy duo funny,positive
143,143,seems lovely person talented,positive
147,147,well done 7,positive
148,148,this perfect year later,positive
150,150,mcmanaman scholes mid great pairing,positive
152,152,you guy best team seen life,positive
153,153,i love everyone talk love california,positive
155,155,daly dose brightness bahahahahaha,positive
161,161,you guy need world cup cutest,positive
162,162,it fair say declan deserves upgrade shooting,positive
163,163,beautiful,positive
164,164,is jack villa fan,positive
166,166,i love lucy much amazing,positive
169,169,sunny innit dude,positive
171,171,she national treasure,positive
172,172,nice,positive
174,174,yeah yeah,positive
175,175,oh sweet aswell shh,positive
177,177,keira answered leahs question leah funny thing leah let her,positive
179,179,best footballer world zlatan nothing him,positive
181,181,ayo neymar it sunny innit,positive
187,187,must protected cost,positive
189,189,lucy funny xd,positive
191,191,amazing 005,positive
194,194,lucy bronze easily best smile football,positive
196,196,hey neymar sunny init,positive
197,197,dont get wait it comming promise love lucy bronze idol,positive
198,198,im old bahahahahah love lucy,positive
201,201,this main character energy right there,positive
203,203,really attracted english premiere league reason behind scene one david beckham like maradona english team proved motivational part game english team fantastic player wa,positive
204,204,i love lioness favs toone williamson russo jill scott,positive
208,208,lol,positive
211,211,proud mancunian here love two,positive
213,213,rice look like foden,positive
216,216,give man knighthood one favorite game call ever,positive
217,217,hopefully dont annoy many people we do love 2,positive
