,Unnamed: 0,0,sentiment
9,9,worst advice ever,negative
11,11,no,negative
12,12,hate say yeah,negative
23,23,this piss let go rookie arent perfect veteran make mistake arent waived cut,negative
46,46,you really made understand reason superteam movement big wig know trying do trying get old league back cant trick intelligent man believing were looking next jordan lebron,negative
58,58,iowa scared shoot damn ball completely lost remember that clark worst defensive guard country raven scared look iowa,negative
63,63,goat bad,negative
65,65,he need stop listening yb,negative
68,68,this first year bought ticket wnba game wanted see recent star ncaa tournament majority cut it disappointing dont want go game,negative
73,73,if missed tho,negative
84,84,shoot corner,negative
85,85,look painful watching slow motion,negative
90,90,stop it,negative
91,91,the epic yet useless move football,negative
99,99,drj averaged 248422 much better kobe 2555 kobe stats compared group probably weakest west 2767 big 2679 moses 2012 elgin baylor 27134 isiah 1949 havlicek 2165 come lower kobe career stat line way kobe shot ball average 2829 ppg career,negative
101,101,she got four 8 year shit crazy saw coming four year college still wasnt ready,negative
104,104,im going lie argument lebron horrible many hole perspective lol,negative
116,116,thanks exposing medium pundit lack research proof peopleneed research own even come something small watching sport,negative
119,119,got grade aint nothing lacking young lady 40 gpa seriously,negative
122,122,brittney i pray god almighty silent gossiping enemy,negative
142,142,this nigga lame hell man idc much money u got dont ungoofy u,negative
145,145,4 loss final fact last two season,negative
147,147,why keep stopping damn video,negative
149,149,man lsu stacked going next season returning player adding no2 arguably no1 player nation plus no 7 player addition morrow van lith theyll run back sure,negative
158,158,compared jackie moon killed him,negative
166,166,let strech yhe dog absolutely killed hahahah,negative
174,174,apology here keep bringing seem astute e solo la mia opinione pace,negative
175,175,the wnba need developmental league expansion desperately needed,negative
178,178,final mvp never meant one best world,negative
180,180,that orlando magic tmacsmh sheesh perfect offensive weapon,negative
181,181,absolutely useless,negative
192,192,all think sad enough team roster spot wnba realize league profitable n b would folded long time ago,negative
201,201,lashannon james really really bad boo thang,negative
203,203,watch magic throwing assist assist jordan head jordan worried magic posting up instead magic picked bull defense apart pick poison scottie put kibosh shit,negative
210,210,im sorry,negative
215,215,how crib deek your get man baby gross thing,negative
232,232,dont cut first draft pickunless person really horrible playing casethis difference nba wnba,negative
239,239,steph curry flat choked harden everyone would say it dude missed wide open shot game 6 curry birthday caked it,negative
