,0
0,['The big smile on his face when he gets off the ground says it all 😂 what a baller!'
1,'I was in Wembley on this fateful day! What a guy!!'
2,'if he missed tho'
3,'Simplemente El Loco.'
4,'The most epic yet useless move in football!'
5,'You can not convince me he wasn’t high when he did that'
6,"'People too hung up on it being a ""results game"". This is football🔥🔥'"
7,"""Who's here after Netflix upcoming documentary"""
8,'Rick James the legend'
9,'This is just perfect all these years later'
10,'G.O.A.T Saving ever ever... Incredible'
11,"""VAR That's was over the line!!! 😁"""
12,'Recuerdo haber visto este partido cuando tenía dos mil días de haber nacido'
13,'higuita is second to none'
14,'I remember watching this game live on tv I was about 7 or 8'
15,'This is some main character energy right there'
16,'Let’s be honest that was not a shot it was a back pass'
17,'Back then when football was an ART
18,not only money'
19,'Bizde de qapıçı  Shahruddin var
20,üstüne gelen topu buraxır.']
21,['Leah is so beautiful 😍'
22,'A pea?🤨😟'
23,'So sad not to see the captain world cup'
24,'❤❤❤❤❤❤❤❤'
25,'It is so insane that there international careers r almost identical to each others 😂'
26,'5:51 leah laughing <3'
27,'we’re they in the 2020 olympics?'
28,'Keira does look like Alyson Hannigan from American Pie! 😂'
29,'Leah Williamson is an angel!!!'
30,'I do that shin pads on the opposite leg'
31,'Beautiful 😍'
32,'For the movie question I think they were referring to Natasha Lyonne (I think)'
33,'Leah seems like such a nice person'
34,"'Most extravagant thing ever eaten ""a pea""🤣🤣🤣💀'"
35,'You can tell that Leah and Keira are really close'
36,"""Keira answered more of Leah's questions than Leah. Funny thing is Leah let her."""
37,'Fingers as long as legs - would probably be too much even for lesbians! 🤣'
38,'❤️Leah'
39,'Leah is so fit'
40,'6:02 Oh Leah Williamson in The Crown would be very interesting! 👑🇬🇧']
41,['Znakomity piłkarz 👍😊👏👏wielki talent 😊'
42,'Give that man a knighthood is the one of my favorite game calls ever'
43,'Bobby Charlton el Grande ha fallecido
44,que Dios lo tenga en sus BRAZOS
45,y la GLORIA ETERNA...Q.E.P.D.🙏🙏🙏...'
46,'whos here from after watching the doc'
47,'best footballer in the world. zlatan has nothing on him'
48,'Beckham has the ability to speak to the ball ❤'
49,'Knew we where it ends\n\nRemember our 91 mads'
50,"""You guys didn't know what you had and then it was gone !"""
51,'He has got during altogether goals...maybe thıs is  all....'
52,"""That goal against Greece was one of the best moments I've seen in football. Zero to hero with that magic right foot"""
53,'ill never forget watching that last  goal as long as i live....'
54,'When I was young 
55,"I really attracted by English Premiere league. The reason behind the scene was the one and only David Beckham. He was like a ""Maradona"" of English Team. He proved that he was the motivational part of any game those won by English Team. What a fantastic player he was!'"
56,'🎉su pasión desde dentro y fuera de la cancha mundial 2006 y 2010 dolieron. Grande Beckham7 el Lord7'
57,'Bravo !'
58,'Well done 7.'
59,'Going to Real madrid was his biggest mistake.'
60,'McManaman and Scholes in the mid was a great pairing.'
61,'That goal against greece is pure goosebumps'
62,'His technique was incredible and the goals one more beautiful than the other. At the time one of my absolute favorite players and idol'
63,'🐐']
64,"['""The weather?"" 😂'"
65,'Rahford😋'
66,'Amazing🔥 0:05'
67,"'The wheezing laughter immediately after Lingard said ""You alright Neymar sunny innit"" had me dead. Made it ten times funnier 😂😂😂'"
68,'Proud Mancunian here! 🙌😂 love these two! ❤'
69,'tHe wEaThO'
70,'Ayo Neymar it’s sunny innit'
71,'Nah dis was funnnyy this duo been funny 😂😂'
72,"'""Yo NeY SuNnY iNnIt?""'"
73,'Yeah yeah 😂'
74,'“Yo Neymar
75,sunny innit?”'
76,'Yo Neymar Sunny innit?'
77,'No no no no no the wever?! the wever?!😂😂😂😂'
78,'I’m sad to say that I bite my nails aswell 😞'
79,'The weva😂'
80,'2:26'
81,'Hey neymar sunny init'
82,'am i the only one noticing rashy saying eveon instead of everton 4:41 😂😂😂'
83,'Sunny innit dude'
84,'0:01😂😂😂😂'
85,'ENGLAND']
86,['Can you do Aaron Ramsdale and Ellie Roebuck vs Sandy Maciver and Jordan Pickford next?'
87,'Leah Williamson is leng'
88,'6:32 what did Jack say?'
89,'Do you feel an intelctual conversation developing!!!'
90,'i know who rice and grealish are  but who are those women????  i thought this was a football video?'
91,'Leah and jack at 8:19 ❤❤'
92,'Jack saying all the kiddy answers cracks me up'
93,'Speed Climbing and Skate boarding aint  Olympic Sport!!!'
94,'I watched this 4 the 10000000th time'
95,'Team socks pulled up as high as possible vs socks down low'
96,'Should have been leah and rice'
97,'Party Rings is genius'
98,'Love this'
99,'❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️'
100,'I see 3 gooners in this video 👀'
101,'jack nose after treble celebration party would have been a great answer for Q2'
102,'Leah is a sort'
103,'Jack definitely likes leah ❤'
104,'❤❤❤❤'
105,'5:54 
106,6:36 plss declan so freaking funny though😭😭😂']
107,['Jill Scott took us for a tour around basecamp back when we first arrived at the Lensbury on ahead of our opening WEURO2022 group matches.'
108,'This Is Why I Love England Football Team Boys And Girls Women And Men🏴\U000e0067\U000e0062\U000e0065\U000e006e\U000e0067\U000e007f🏴\U000e0067\U000e0062\U000e0065\U000e006e\U000e0067\U000e007f🏴\U000e0067\U000e0062\U000e0065\U000e006e\U000e0067\U000e007f🏴\U000e0067\U000e0062\U000e0065\U000e006e\U000e0067\U000e007f😁😁😁😁😁💪💪💪💪💪❤️❤️❤️❤️ Because My Uncle Aunt And My Cuz (Brother And Sister) Is British And My Niece Be Going To Lionesses In The Future 🏴\U000e0067\U000e0062\U000e0065\U000e006e\U000e0067\U000e007f💪❤️'
109,'“HERE COMES A CHAMPION” made me laugh so hard Jill has got to be the most funniest there ever has and will be😂'
110,'“Oh there are some sweets here aswell” “SHH”😂😂😂😂'
111,'How about Jill has the scott room because it snext the The Unitt room which is also the surname of Jill Fiancée Shelly!\nI know thats Rachel Unitts room'
112,'Who else is here from I am a Celebrity? 😅'
113,'“i hope they did want us to sign that” 😭'
114,'HEMPO PLAYING TABLE TENNIS 😲'
115,'1:26 Keira and Lucy 😘🥰'
116,'Not Keira and Lucy sitting together playing fire 🥰'
117,'👍'
118,'now she can have her own scoot room 💪 what a legend'
119,'Shine on Ms. Scott... SHINE soooo Brite..⚽🤩....Beautifuls playing the ❤️ game'
120,"""My fave part is Hemp and Bronze just ignoring her while she's shooting hoops hahahah"""
121,'How about a crib for a deek in your? Gets a man baby!!!! Gross thing.'
122,'What happened to Chloe kelly'
123,'She is a national treasure
124,and must be protected at all costs!'
125,'lucy and keira playing video games 😂'
126,"""30p to play the basketball game? How long has it been since she went in an arcade? Just got back from Blackpool. You're lucky if you get a game for less than a pound now. I wouldn't mind but I have to be honest"
127,I wouldn't pay a pound to watch me play the game
128,"absolutely useless"""
129,'can you do a day in the life of the whole squad please
130,i love them..... before world cup if possible'
131,'Cute that the Scott and Unitt rooms are next to each other - even if they aren’t for Jill and Shelley 😌']
132,"['""do you feel one of the older players now?"" gagged lucy for a bit'"
133,"""'' I'm not old '' bahahahahah i love Lucy 😂❤"""
134,'Lucy 😂😂😂 im not old'
135,"""I love Lucy so much. She's amazing."""
136,"""Does she grow up to be a journalist? she surely have the talent for it. But because of her interest"
137,I can see a future footballer too
138,"if she's a bit lazy she can be a goalie :)"""
139,'This kid 😂'
140,'Girl was roasting fran 😂😂😂😊'
141,'You guys need to have her do this again before the World Cup. The cutest!'
142,"""Can't beat Mary with kids.... She's my favourite ❤"""
143,'It’s about time you have a new celebration. It’s like saying Ronaldo needs a new celebration'
144,'Wow amazing ⚽'
145,'i love the lionesses my favs are toone williamson and russo and jill scott'
146,'They are all so sweet with this little girl and it’s the cutest thing ever'
147,'You guys are the best team I have seen in my life'
148,"""She's SOOO cute. Better than Josh. Loved her top. And fearlessness. BRING HER BACK FOR THE WORLDS!"""
149,'Children are always cute.... Tony cuenca'
150,"""The way she asked Fran if she'd stopped growing 🤣🤣"""
151,'I love Lucy bronze so much!'
152,'have you stopped growing 😭😭😭'
153,'I LOVE how everyone talks!.. love from So California ❤️']
154,['It’s fair to say Declan deserves an upgrade on his shooting! 💪'
155,'Jack was absolute buzzing about his card'
156,"""on declan rice's first fifa card he looks like thogden(a football youtuber)"""
157,'“a hundred million pound mate” ayyy look who’s talkin now😎'
158,"""Now they're both 100m pounds"""
159,'❤❤'
160,'WWE fan alert 7:06'
161,"'""100 million pound mate"" you can say that about yourself now Declan!'"
162,'fifa 19 rice looks like foldant'
163,"'Declan ""100M Pound mate"" Now look at ya ...105M pound lol!!'"
164,"""Little did he know he'd also be a £100m player as well"
165,"LOL. 🤍❤️"""
166,'5:01 “100 million pound mate” Decs you’re about to be 105mil😭'
167,'Rice you look like Foden'
168,"""Rice's gold and silver card look like phill foden! XD"""
169,'Both grealish and rice are traitors to the Irish'
170,'How did i not know that jack grealish aas irish
171,im irish'
172,'Why have they got Irish flags on'
173,'Jack do you play fifa because I do😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀'
174,'No way rice is the same level as Nunez'
175,'Is Jack a villa fan'
176,'England all the best team in the world']
177,['We need this so much 😂. I love Millie and Rach'
178,'I love them so much 😂😂'
179,'Daly Dose of Brightness bahahahahaha'
180,'These two I love them'
181,'“hopefully we don’t annoy too many people..” “we do.” i love these 2'
182,'Rachel needs to fill your side gap.'
183,'6:15 \n-Hopefully we don’t annoy too many people\n*-We do*'
184,"""Hi Millie you're so different to I hope you don't mind if we're not the same stand. Bees attracts always to the best flowers"""
185,"""I'm out now. Tell others specially to be Ellen."""
186,'No wonder that red card was sent. You make me laugh.'
187,'Nice to see you guys. You make me laugh.'
188,'When was the 2nd pool video filmed'
189,'Why do we see the men in new gear
190,new training kits
191,new shirts.. yet the Lionesses are STILL in the awful purple training kits and playing in the old shirts... after how many years? Look at the USA all kitted out and looking up to date. Please sort it out
192,we are so behind.'
193,'this is legit friendship goals.'
194,'Leeds United'
195,'Miniminter'
196,'Aool theeee best! Is that english?'
197,'bees in england... ask your prez if he can help.. you are bi** already'
198,'beers rather?'
199,'You will the polar bears']
200,"['""sound"
201,"lets strech yhe dog"" absolutely killed me hahahah'"
202,'“If I went with someone like
203,like Georgia we would argue about who was doing it right so I need to go with someone who’s just gonna let me be right” 😂 Love these girls sm
204,they never fail to put a smile on your face ♥️🤍'
205,'Lucy es una idola 👏 es talentosa
206,muy divertida que  bonita personalidad  💕🫶'
207,'she says sound a lot 😭'
208,'7:51 what you came here for'
209,'Lucy fantastica defensa!'
210,'She’s just so cool
211,charming and laidback'
212,'Lucy Bronze - easily the best smile in football'
213,"""Lucy comes across as such a cool normal person. She's a proper footballer too"""
214,'10/10 person is Lucy Bronze 💛💛'
215,'Lucy bronze!!!!!'
216,'Love this 💕'
217,'Seems lovely person and very talented'
218,'“DONT GET UP WAIT FOR IT. ITS COMMING I PROMISE!” Love Lucy bronze she my idol'
219,'need to see the stanway toone contemporary dance haha'
220,'Nice'
221,'I love lucy
222,heart and soul of this England team.'
223,"""Lucy's funny xD"""
224,'Ela é muito elegante jogando futebol 👏👏'
225,'Lucy is Portuguese']
