,Unnamed: 0,0,sentiment
0,0,,neutral
1,1,grown little man hanging high school college kid,neutral
3,3,garland lard would cook yall mf,neutral
4,4,sun roster loaded,neutral
7,7,geaux tiger,neutral
9,9,always that,neutral
11,11,kramer robertson kims son kramer,neutral
12,12,she six week ago remember,neutral
13,13,why draft someone know need them,neutral
17,17,raven pg1,neutral
22,22,angel,neutral
24,24,that kramer,neutral
30,30,you related bradley beal,neutral
32,32,whigger maga biatch coach ima grab popcorn watch ego implode,neutral
33,33,eu s quero saber nome da msica,neutral
34,34,one thing,neutral
39,39,unless kim son dont know about,neutral
40,40,paige,neutral
43,43,this dude goofy me,neutral
44,44,hard stop person scoring shot like that,neutral
49,49,really bucket,neutral
52,52,d wade one feminine male sport probably allows gabby peg,neutral
55,55,this one reason angel reese went wnba quite frank,neutral
58,58,i wonder reese dunk,neutral
61,61,aneesha silence assassin player word light court,neutral
62,62,she belongs russia,neutral
63,63,morreaux,neutral
66,66,very uplifting refreshing togetherness,neutral
68,68,bring sport rut,neutral
71,71,that attitude,neutral
73,73,she sound black actually white,neutral
82,82,two turd,neutral
83,83,wa flaujae 1 jawn,neutral
84,84,and begin,neutral
85,85,im looking minnesota lynx roster roght 61023 aint way brea beal team way all,neutral
91,91,clickbait,neutral
92,92,led angel,neutral
95,95,id clamp that,neutral
97,97,ring chaser,neutral
104,104,thats fkn pop dancing nwith black red hoodie nsmh u200d,neutral
108,108,419 time baby zc,neutral
112,112,all wan na thug,neutral
113,113,raven eating girlies up,neutral
114,114,yeahhh ravenn,neutral
116,116,she wnba player actually wanted see always reminded female version melo,neutral
118,118,he cant hold hvl mamba,neutral
121,121,hmm angel reese hanging little bit now,neutral
122,122,she bandwager clout chaser,neutral
124,124,iowa disrescpecting sc,neutral
125,125,hope everyone spot angel exactly always someone around looking wolf ja rude awakening,neutral
126,126,just week ago,neutral
127,127,u200d 4kt ja,neutral
131,131,aneesah morreaux geaux tiger,neutral
134,134,where angel dont see her,neutral
135,135,keep trying brea,neutral
137,137,who going beat,neutral
139,139,boston,neutral
144,144,shelomi,neutral
147,147,t,neutral
149,149,with deal,neutral
150,150,angel aneesa fluaje,neutral
151,151,let go raven,neutral
156,156,spot,neutral
159,159,basketball trial home washing clothes cooking hot meal,neutral
162,162,lsu,neutral
163,163,hot damnshelomi ahh fr fr snipersooo part tha game mom,neutral
172,172,everything else open up nnshes beast,neutral
176,176,already,neutral
178,178,get it,neutral
180,180,bandwagon chasernaneesha,neutral
181,181,cant wait let geaux lady,neutral
182,182,ball,neutral
186,186,dam,neutral
191,191,might way would go nbut nthats,neutral
192,192,angel reese gym yall talk,neutral
196,196,prime upbossy,neutral
200,200,bro swing way,neutral
201,201,south carolina still gone beat them,neutral
202,202,cold,neutral
203,203,she would go overseas become scorer high school,neutral
208,208,hvl,neutral
212,212,come dallas,neutral
213,213,hey yall,neutral
215,215,watch ncaa raven blow mind nshowtime sc,neutral
216,216,go sky,neutral
217,217,man,neutral
219,219,my heart break think there there way,neutral
221,221,chick rock girl beast right there go shelomi,neutral
222,222,this kramer robertson,neutral
224,224,maya moore everybody,neutral
227,227,p r m,neutral
229,229,go gamecock,neutral
235,235,reese may go wnba all,neutral
236,236,first,neutral
237,237,did mike get digit,neutral
