,Unnamed: 0,0,sentiment
1,1,do feel one older player now gagged lucy bit,negative
5,5,not keira lucy sitting together playing fire,negative
22,22,the epic yet useless move football,negative
23,23,let strech yhe dog absolutely killed hahahah,negative
29,29,no wever wever,negative
32,32,it insane international career r almost identical others,negative
58,58,no way rice level nunez,negative
81,81,so sad see captain world cup,negative
94,94,how crib deek your get man baby gross thing,negative
96,96,im sad say bite nail aswell,negative
133,133,the way asked fran shed stopped growing,negative
137,137,going real madrid biggest mistake,negative
159,159,have stopped growing,negative
176,176,if missed tho,negative
184,184,bit lazy goalie,negative
199,199,team sock pulled high possible v sock low,negative
218,218,ill never forget watching last goal long live,negative
220,220,absolutely useless,negative
